Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0AVT1,UBA6,Homo sapiens (Human),0,0.254129775,0.089087235,0.399940364,1,0.684741946
A0FGR8,ESYT2,Homo sapiens (Human),0.40009618,1,0.764719416,0.43687192,0.498172308,0
A1L0T0,ILVBL,Homo sapiens (Human),0.271561729,1,0.702301822,0.465151089,0.511338078,0
A1L188,C17orf89,Homo sapiens (Human),0,0.125650247,0.474786299,1,0.366418534,0.06572636
A2RRP1,NBAS,Homo sapiens (Human),0.356367577,1,0.594869161,0.335870088,0.331656275,0
A3KMH1,VWA8,Homo sapiens (Human),0,0.122485905,0.502427647,1,0.565044028,0.059099128
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.069073594,0.442203231,1,0.418356417,0.164833741
Q9GZQ8,MAP1LC3B,Homo sapiens (Human),0.616507096,1,0.5934441,0.217528708,0.133548662,0
Q8IUC4,RHPN2,Homo sapiens (Human),0.048407403,0.650515304,1,0.409044995,0.346927544,0
A8MXV4,NUDT19,Homo sapiens (Human),0,0.183491064,0.618928921,1,0.507906707,0.15875666
P0CG08,GPR89B,Homo sapiens (Human),0.227765226,1,0.554825128,0.32640724,0.348639961,0
P09712,US3,HCMV,0.335072291,0.933176843,0.786072154,0.522279093,1,0
P16812,UL34,HCMV,0,0.294762434,0.230836251,0.269633643,0.916169751,1
P16734,UL103,HCMV,0.261985368,0.93279829,1,0.464060129,0.5620758,0
P16800,UL94,HCMV,0.3245338,1,0.601716765,0.151167053,0.209974485,0
P16767,UL36,HCMV,0,0.174438072,0.24008332,0.41068361,0.992409925,1
P09730,US8,HCMV,0.158062596,1,0.789997264,0.587857435,0.43714153,0
P09729,US9,HCMV,0.208257711,1,0.732959573,0.292231745,0.376379276,0
P16790,UL44,HCMV,0,0.285093464,0.449540359,0.604250037,0.945971507,1
P09721,US12,HCMV,0.086524459,0.638941651,1,0.445968706,0.244980163,0
P16823,UL71,HCMV,0.194087488,1,0.795640121,0.270743845,0.240873585,0
P16789,UL98,HCMV,0,0.146420478,0.359364674,0.465181869,1,0.685334248
P09728,US10,HCMV,0.316586995,1,0.376564084,0.112200556,0.420544802,0
P16761,UL25,HCMV,0,0.1580136,0.161956968,0.316118592,0.925458853,1
P16729,UL86,HCMV,0,0.054327192,0.203938515,0.235302066,0.500933933,1
P16827,UL102,HCMV,0.767743212,1,0.624327228,0.645133461,0.094058935,0
O00115,DNASE2,Homo sapiens (Human),0.227620071,0.945876484,1,0.292418792,0.229791135,0
O00116,AGPS,Homo sapiens (Human),0,0.285038208,0.774491191,0.86124328,1,0.298394155
O00142,TK2,Homo sapiens (Human),0,0.194099207,0.506551751,1,0.882726955,0.183413977
O00151,PDLIM1,Homo sapiens (Human),0.802974653,1,0.395155825,0.270323903,0.178557504,0
O00154,ACOT7,Homo sapiens (Human),0,0.226284038,0.223120338,0.506656354,1,0.784820888
O00159,MYO1C,Homo sapiens (Human),1,0.645873441,0.268019405,0.146078526,0.239914623,0
O00161,SNAP23,Homo sapiens (Human),1,0.820019078,0.501890789,0.190877725,0.109016442,0
O00186,STXBP3,Homo sapiens (Human),0.987787073,1,0.575363149,0.257845131,0.181729351,0
O00203,AP3B1,Homo sapiens (Human),0,0.295902206,0.012242813,0.138849574,1,0.236740319
O00214,LGALS8,Homo sapiens (Human),1,0.701367954,0.482235366,0.202793245,0.213550558,0
O00217,NDUFS8,Homo sapiens (Human),0,0.074938344,0.350805716,1,0.662989773,0.165904222
O00231,PSMD11,Homo sapiens (Human),0,0.19001631,0.120789905,0.400218994,1,0.842390469
O00232,PSMD12,Homo sapiens (Human),0,0.228714937,0.077309784,0.544367078,0.986202346,1
O00264,PGRMC1,Homo sapiens (Human),0.252096619,1,0.820503511,0.597963183,0.357232401,0
O00291,HIP1,Homo sapiens (Human),1,0.908162994,0.74731179,0.396401987,0.25302267,0
O00299,CLIC1,Homo sapiens (Human),0.530974566,1,0.296274439,0.166398227,0.234354672,0
O00330,PDHX,Homo sapiens (Human),0,0.092237211,0.481820215,1,0.708474148,0.149241415
O00391,QSOX1,Homo sapiens (Human),0.237394763,1,0.78214531,0.201128469,0.262173682,0
O00410,IPO5,Homo sapiens (Human),0.038750546,0.256290017,0.469552231,1,0.512826352,0
O00425,IGF2BP3,Homo sapiens (Human),0,0.140683613,0.186025897,0.384046701,1,0.777882754
O00461,GOLIM4,Homo sapiens (Human),0.035853116,0.778226132,1,0.328139604,0.263255739,0
O00468,AGRN,Homo sapiens (Human),0.124295034,1,0.922823731,0.33540459,0.480710078,0
O00469,PLOD2,Homo sapiens (Human),0.196000391,1,0.86753288,0.422967889,0.295004898,0
O00471,EXOC5,Homo sapiens (Human),0.923627086,1,0.488486195,0.372590778,0.562352455,0
O00483,NDUFA4,Homo sapiens (Human),0,0.056864179,0.419138548,1,0.433801812,0.116122061
O00487,PSMD14,Homo sapiens (Human),0,0.09015517,0.077048734,0.327642333,1,0.788874945
O00560,SDCBP,Homo sapiens (Human),0.246568637,0.913847687,1,0.300118627,0.285290554,0
O00567,NOP56,Homo sapiens (Human),0,0.790295039,1,0.539316213,0.969008028,0.90622396
O00629,KPNA4,Homo sapiens (Human),0.818784687,1,0.277251605,0.195264997,0,0.01299026
O00746,NME4,Homo sapiens (Human),0.048608202,0.291909809,0.506460066,1,0.860339701,0
O00748,CES2,Homo sapiens (Human),0.219296665,1,0.735672736,0.336432684,0.358098571,0
O00754,MAN2B1,Homo sapiens (Human),0.244504658,0.883954777,1,0.387287513,0.228460166,0
O14494,PLPP1,Homo sapiens (Human),0.650921619,1,0.783505435,0.280856033,0.205916964,0
O14495,PLPP3,Homo sapiens (Human),0.597865461,1,0.762034132,0.264910251,0.182523345,0
O14548,COX7A2L,Homo sapiens (Human),0,0.100444153,0.438589096,1,0.669899245,0.132095731
O14558,HSPB6,Homo sapiens (Human),0.368090596,0.784042451,0.024534286,0,1,0.044350256
O14569,CYB561D2,Homo sapiens (Human),0.333133194,1,0.569041865,0.424955082,0.799926756,0
O14579,COPE,Homo sapiens (Human),1,0.993259803,0.046145741,0.055445631,0.852075864,0
O14617,AP3D1,Homo sapiens (Human),0.591523929,1,0.672914317,0.49882014,0.269233413,0
O14656,TOR1A,Homo sapiens (Human),0.237302313,1,0.688106384,0.377486915,0.311363897,0
O14657,TOR1B,Homo sapiens (Human),0.225721991,1,0.676887821,0.335486498,0.329497329,0
O14662,STX16,Homo sapiens (Human),0.396916699,1,0.529134964,0.1678368,0.246685705,0
O14672,ADAM10,Homo sapiens (Human),0.325904641,1,0.819434286,0.463739884,0.713983365,0
O14683,TP53I11,Homo sapiens (Human),0.695156426,1,0.352849653,0.151380591,0.193037369,0
O14734,ACOT8,Homo sapiens (Human),0,0.215593047,0.763246021,0.833116478,1,0.134388091
O14735,CDIPT,Homo sapiens (Human),0.268020438,1,0.747460072,0.496822559,0.798818085,0
O14745,SLC9A3R1,Homo sapiens (Human),0.827996064,1,0.378460432,0.224664365,0.085051651,0
O14763,TNFRSF10B,Homo sapiens (Human),0.621835278,1,0.565218621,0.220310563,0.265281853,0
O14773,TPP1,Homo sapiens (Human),0.115787544,0.720863978,1,0.438075063,0.072561566,0
O14818,PSMA7,Homo sapiens (Human),0.5988072,1,0.394407719,0.389418859,0.580824409,0
O14828,SCAMP3,Homo sapiens (Human),0.414268343,1,0.533095597,0.18478654,0.114536615,0
O14832,PHYH,Homo sapiens (Human),0,0.319598119,0.795882384,1,0.744378782,0.175242499
O14879,IFIT3,Homo sapiens (Human),0,0.484031721,0.057538247,0.226227022,1,0.533891692
O14880,MGST3,Homo sapiens (Human),0,0.088426454,0.47124003,1,0.508498643,0.161387045
O14908,GIPC1,Homo sapiens (Human),1,0.937078776,0.370914061,0.145101008,0.094264168,0
Q5SRD1,TIMM23B,Homo sapiens (Human),0,0.123679814,0.43811734,1,0.772546807,0.124166563
O14936,CASK,Homo sapiens (Human),0.990543379,1,0.402835624,0.307899934,0.102387282,0
O14949,UQCRQ,Homo sapiens (Human),0,0.072954442,0.344852244,1,0.409896206,0.150831938
P19105,MYL12A,Homo sapiens (Human),0.211794965,0.273171265,1,0.438682165,0.352187015,0
O14964,HGS,Homo sapiens (Human),0.611277914,1,0.457180078,0.169490493,0.113875559,0
O14974,PPP1R12A,Homo sapiens (Human),1,0.828960511,0.386932741,0.212190437,0.089260201,0
O14980,XPO1,Homo sapiens (Human),0.179933932,1,0.530541211,0.674021511,0.535906797,0
O15031,PLXNB2,Homo sapiens (Human),0.821781182,1,0.636188175,0.323375244,0.318438399,0
O15091,KIAA0391,Homo sapiens (Human),0.004662617,0.073623944,0.46957374,1,0.641079241,0
O15118,NPC1,Homo sapiens (Human),0.319515257,1,0.901162225,0.273300064,0.215668101,0
O15121,DEGS1,Homo sapiens (Human),0.255494104,1,0.778068222,0.425463812,0.395233395,0
O15126,SCAMP1,Homo sapiens (Human),0.369372993,1,0.576174281,0.298220061,0.31211773,0
O15127,SCAMP2,Homo sapiens (Human),0.531573137,1,0.558105166,0.260836143,0.2238453,0
O15143,ARPC1B,Homo sapiens (Human),0.687813732,1,0.885075209,0.746725593,0.423283651,0
O15144,ARPC2,Homo sapiens (Human),1,0.978315015,0.39847704,0.286166907,0.111638053,0
O15145,ARPC3,Homo sapiens (Human),1,0.935119061,0.375070801,0.277735985,0.102122095,0
O15162,PLSCR1,Homo sapiens (Human),0.988763523,1,0.652987097,0.184500036,0.151809848,0
O15173,PGRMC2,Homo sapiens (Human),0.306131829,1,0.71209945,0.410963736,0.496873119,0
O15228,GNPAT,Homo sapiens (Human),0,0.281197638,0.839274361,1,0.957631954,0.24876066
O15235,MRPS12,Homo sapiens (Human),0,0.306942882,0.548834236,1,0.391276838,0.073040026
O15254,ACOX3,Homo sapiens (Human),0,0.251040613,0.805493127,0.987729758,1,0.28048001
O15258,RER1,Homo sapiens (Human),0.055131029,1,0.558030765,0.332553142,0.903235865,0
O15260,SURF4,Homo sapiens (Human),0.28487444,1,0.680386575,0.462046989,0.9593967,0
O15269,SPTLC1,Homo sapiens (Human),0.218380867,1,0.611426859,0.38154166,0.585784333,0
O15270,SPTLC2,Homo sapiens (Human),0.298092146,1,0.726802327,0.41110931,0.426277605,0
O15321,TM9SF1,Homo sapiens (Human),0,0.677009064,1,0.372822288,0.394928886,0.052433392
O15371,EIF3D,Homo sapiens (Human),0.090913488,0.25978692,0,0.230916238,1,0.231223512
O15382,BCAT2,Homo sapiens (Human),0,0.200463893,0.559814002,1,0.615643024,0.08801622
O15400,STX7,Homo sapiens (Human),0.479138811,1,0.470711957,0.155386744,0.098747426,0
O15427,SLC16A3,Homo sapiens (Human),1,0.806035835,0.448699835,0.222162396,0.172146062,0
O15431,SLC31A1,Homo sapiens (Human),0.69862117,1,0.844319692,0.261923171,0.040592271,0
O15439,ABCC4,Homo sapiens (Human),1,0.753625503,0.575383358,0.29192362,0.19963348,0
O15460,P4HA2,Homo sapiens (Human),0.165476835,1,0.848515593,0.38823369,0.267121313,0
O15484,CAPN5,Homo sapiens (Human),1,0.956877968,0.819156835,0.626546195,0.455871345,0
O15498,YKT6,Homo sapiens (Human),0.667404416,1,0.51944511,0.342108385,0.180005532,0
O15511,ARPC5,Homo sapiens (Human),0.941959643,1,0.443998335,0.338882409,0.361122876,0
O15533,TAPBP,Homo sapiens (Human),0.28238375,1,0.624213832,0.445959102,0.923312818,0
O43169,CYB5B,Homo sapiens (Human),0.337086564,1,0.838782194,0.862442873,0.997407521,0
O43175,PHGDH,Homo sapiens (Human),0.092672592,0.264396164,0,0.252505279,1,0.513087417
O43181,NDUFS4,Homo sapiens (Human),0,0.036079575,0.394176905,1,0.461649504,0.152457098
O43242,PSMD3,Homo sapiens (Human),0,0.184611457,0.134345612,0.471802302,0.790924218,1
O43264,ZW10,Homo sapiens (Human),0.428888494,1,0.558837639,0.26709505,0.243638421,0
O43292,GPAA1,Homo sapiens (Human),0.218614701,1,0.763376153,0.47052952,0.635414044,0
O43293,DAPK3,Homo sapiens (Human),0.008463368,0,0.247623776,1,0.7312154,0.197632256
O43294,TGFB1I1,Homo sapiens (Human),0.052920074,0.122118405,0,0.123876967,0.810259711,1
O43324,EEF1E1,Homo sapiens (Human),0,0.297050477,0.128955314,0.315169585,1,0.656432761
O43325,LYRM1,Homo sapiens (Human),0,0.096701684,0.457927039,1,0.635319318,0.216822356
O43396,TXNL1,Homo sapiens (Human),0.657062742,1,0.217871427,0.459505465,0.17713873,0
