Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.926219142,1,0.897837396,0.419729297,0.301408182,0
A1L0T0,ILVBL,Homo sapiens (Human),0.727764611,1,0.559502386,0.320909329,0.436351381,0
A2RRP1,NBAS,Homo sapiens (Human),1,0.726925385,0.323773695,0.134449665,0.373342736,0
A3KMH1,VWA8,Homo sapiens (Human),0.020024542,0,0.44703505,1,0.278325905,0.106584976
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.010224413,0.404439685,1,0.236949673,0.130616307
Q8IUC4,RHPN2,Homo sapiens (Human),0.280030755,0.570167718,1,0.756005165,0.54482773,0
A8MXV4,NUDT19,Homo sapiens (Human),0,0.118087763,0.507299047,1,0.38416944,0.111093995
P0CG08,GPR89B,Homo sapiens (Human),0.827956739,1,0.833005061,0.461484846,0.315134304,0
P09712,US3,HCMV,0.066068959,0.161669953,0,0.263795152,1,0.055989634
P16764,UL29,HCMV,0.023434179,0,0.087744695,0.290084452,0.90035781,1
C1BEG3,UL74A,HCMV,0.172099218,0.771904265,1,0.762982461,0.370303617,0
P16731,UL88,HCMV,0,0.024748648,0.344741362,1,0.436691341,0.190069618
P16734,UL103,HCMV,0.291400908,1,0.387997025,0.36817832,0.772540841,0
P16783,UL46,HCMV,0,0.332328867,1,0.408691973,0.145886048,0.264962226
P16800,UL94,HCMV,0.509296862,1,0.987624726,0.373074525,0.087216966,0
P16767,UL36,HCMV,0,0.086445558,0.141645531,0.463084271,1,0.839059513
P09730,US8,HCMV,0.491605079,1,0.694915182,0.403193819,0.758293109,0
P06726,UL82,HCMV,0.016500937,0.315819511,1,0.706755693,0.21789338,0
P09729,US9,HCMV,0.549696498,1,0.646825477,0.319024087,0.355476174,0
P16790,UL44,HCMV,0,0.227365447,0.670487494,0.739661699,1,0.72644878
P16832,gL,HCMV,0.453734085,1,0.786414357,0.463967785,0.312559098,0
P09721,US12,HCMV,0.8681697,1,0.881601806,0.529589187,0.232429189,0
P16823,UL71,HCMV,0.529999556,1,0.790906127,0.247892215,0.211153306,0
P16789,UL98,HCMV,0.10485681,0,0.024459081,0.360475546,1,0.793446269
P69333,US28,HCMV,0.438172756,1,0.402873718,0.100824198,0.095841366,0
P09728,US10,HCMV,0.904956783,1,0.841876703,0.578063334,0.737228573,0
P16762,UL26,HCMV,0,0.107932801,0.541415321,1,0.841181812,0.495232536
P16761,UL25,HCMV,0,0.074081491,0.590649065,1,0.927550021,0.480439467
P16729,UL86,HCMV,0,0.364332333,1,0.497689557,0.241188046,0.25215129
P69339,UL132,HCMV,0.843323152,1,0.396155987,0.371792687,0.341607015,0
P16769,UL114,HCMV,0,0.066720124,0.021849699,0.265684975,1,0.638171326
P16827,UL102,HCMV,0.25313795,0,0.133296526,0.524738755,1,0.857061089
P16728,UL85,HCMV,0,0.378428714,1,0.406855858,0.184876511,0.281108874
O00115,DNASE2,Homo sapiens (Human),0.296457247,0.755377469,1,0.622188256,0.244541591,0
