Table S2G. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 48hpi.,,,,,,,,
,,,Organelle fraction,,,,,
Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0AVT1,UBA6,Homo sapiens (Human),0.987373302,1,0.370009018,0.190362288,0.040466245,0
A0FGR8,ESYT2,Homo sapiens (Human),0.566856746,0.886582209,1,0.499311255,0.110487759,0
A1L0T0,ILVBL,Homo sapiens (Human),0.562597354,0.921469807,1,0.565508167,0.102714566,0
A3KMH1,VWA8,Homo sapiens (Human),0.048934657,0.125589344,0.30538323,1,0.098673378,0
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.070238033,0.216291385,1,0.112233251,0.045434219
Q8IUC4,RHPN2,Homo sapiens (Human),0.035324519,0.267806484,1,0.629226085,0.034092868,0
A8MXV4,NUDT19,Homo sapiens (Human),0.079716756,0.125821295,0.372608534,1,0.248613631,0
E9PAV3,NACA,Homo sapiens (Human),1,0.79103432,0.328016603,0.186731944,0.015525319,0
O00115,DNASE2,Homo sapiens (Human),0.310684402,1,0.813177994,0.242510082,0.063134653,0
O00116,AGPS,Homo sapiens (Human),0.119830998,0.303343022,0.486571088,1,0.706334327,0
O00142,TK2,Homo sapiens (Human),0.062248458,0.202517632,0.521188877,1,0.143066499,0
O00151,PDLIM1,Homo sapiens (Human),1,0.594333068,0.215890963,0.147788487,0.013345063,0
O00154,ACOT7,Homo sapiens (Human),1,0.801209019,0.50370859,0.840675246,0.286154965,0
O00159,MYO1C,Homo sapiens (Human),1,0.555659175,0.325480563,0.126397919,0.033630254,0
O00161,SNAP23,Homo sapiens (Human),1,0.751137379,0.384982081,0.162261673,0.008380233,0
O00165,HAX1,Homo sapiens (Human),0.094776082,0.140011865,0.219999342,1,0.088616573,0
O00186,STXBP3,Homo sapiens (Human),1,0.675997725,0.460429566,0.20353153,0.023502061,0
O00203,AP3B1,Homo sapiens (Human),1,0.77881111,0.527912414,0.300313291,0.053047098,0
O00214,LGALS8,Homo sapiens (Human),1,0.697739404,0.675558678,0.363536968,0.025152541,0
O00231,PSMD11,Homo sapiens (Human),1,0.939792991,0.592865456,0.409777614,0.036929959,0
O00232,PSMD12,Homo sapiens (Human),1,0.94390394,0.393207575,0.276509671,0.09634618,0
O00233,#N/A,#N/A,0.766427821,1,0.474557602,0.174240231,0.033169817,0
O00244,#N/A,#N/A,1,0.877196728,0.373731848,0.357537431,0.09151261,0
O00264,PGRMC1,Homo sapiens (Human),0.45719665,0.904185287,1,0.681461602,0.089466236,0
O00291,HIP1,Homo sapiens (Human),0.842065834,0.821879994,1,0.464370836,0.055716722,0
O00299,CLIC1,Homo sapiens (Human),1,0.803654022,0.240614568,0.090574145,0,0.007150739
O00303,EIF3F,Homo sapiens (Human),1,0.889923483,0.368742545,0.22621094,0.088536147,0
O00330,PDHX,Homo sapiens (Human),0.02524198,0.111306444,0.294853239,1,0.126642906,0
O00410,IPO5,Homo sapiens (Human),0.625299699,0.590676463,0.479414403,1,0.15186824,0
O00425,IGF2BP3,Homo sapiens (Human),1,0.944269396,0.946911855,0.493175088,0.07471008,0
O00461,GOLIM4,Homo sapiens (Human),0.266565866,1,0.655168605,0.20774225,0.018986814,0
O00462,MANBA,Homo sapiens (Human),0.329766486,1,0.790220497,0.265169492,0.086613938,0
O00469,PLOD2,Homo sapiens (Human),0.293624904,0.652425569,1,0.580957242,0.117852078,0
O00471,EXOC5,Homo sapiens (Human),1,0.589547589,0.344644031,0.154465474,0.004065103,0
O00483,NDUFA4,Homo sapiens (Human),0,0.073084144,0.259543007,1,0.089489897,0.026865647
O00487,PSMD14,Homo sapiens (Human),1,0.646454372,0.357146184,0.165115837,0.087401088,0
O00505,KPNA3,Homo sapiens (Human),1,0.919076062,0.348033975,0.189573447,0,0.012683337
O00534,VWA5A,Homo sapiens (Human),1,0.704267673,0.35980047,0.206744621,0.058483407,0
O00560,SDCBP,Homo sapiens (Human),0.507184602,1,0.540643039,0.120471009,0.042226301,0
O00571,DDX3X,Homo sapiens (Human),1,0.949541516,0.410508234,0.269932406,0.00171304,0
O00584,RNASET2,Homo sapiens (Human),0.267844285,1,0.815638873,0.321016117,0.00695332,0
