Table S2H. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 72hpi.,,,,,,,,
,,,Organelle fraction,,,,,
Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.511370977,1,0.796247575,0.58658067,0.045377613,0
A1L0T0,ILVBL,Homo sapiens (Human),0.485222218,1,0.602820414,0.561562507,0.087886826,0
A2RRP1,NBAS,Homo sapiens (Human),0.719525718,1,0.616019072,0.488080568,0.01132692,0
A3KMH1,VWA8,Homo sapiens (Human),0.050931846,0.217761514,0.340631826,1,0.008221217,0
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.13683285,0.265810429,1,0.071532019,0.081934863
Q6VEQ5,WASH2P,Homo sapiens (Human),0.702484676,1,0.497759697,0.308025603,0,0.003358501
Q8IUC4,RHPN2,Homo sapiens (Human),0.0948976,0.396664463,1,0.980990638,0.058601313,0
A8MVW0,FAM171A2,Homo sapiens (Human),0.722131021,1,0.784834194,0.438068191,0,0.004943671
A8MXV4,NUDT19,Homo sapiens (Human),0.09243006,0.334350153,0.418908498,1,0.103857181,0
P16731,UL88,HCMV,0,0.13410265,0.212006644,1,0.144728607,0.055692835
O00115,DNASE2,Homo sapiens (Human),0.21737633,1,0.664035846,0.247868955,0.063979474,0
O00116,AGPS,Homo sapiens (Human),0.010265099,0.334903407,0.386276214,1,0.170311365,0
O00142,TK2,Homo sapiens (Human),0,0.178835426,0.327129815,1,0.126558194,0.00408719
O00151,PDLIM1,Homo sapiens (Human),1,0.597168167,0.221771482,0.171982193,0,0.021529084
O00154,ACOT7,Homo sapiens (Human),0.906795059,0.988570044,0.375618853,1,0.166553903,0
O00159,MYO1C,Homo sapiens (Human),1,0.443514056,0.253691396,0.158408988,0.011346295,0
O00161,SNAP23,Homo sapiens (Human),1,0.853705655,0.439062265,0.231932783,0.019748937,0
O00165,HAX1,Homo sapiens (Human),0.113378373,0.188640003,0.243116385,1,0.015272906,0
O00186,STXBP3,Homo sapiens (Human),1,0.736020643,0.406633626,0.27005809,0.003184939,0
O00192,ARVCF,Homo sapiens (Human),1,0.591293074,0.307677034,0.298016632,0.003279878,0
O00214,LGALS8,Homo sapiens (Human),1,0.687117496,0.496378007,0.279947031,0.006039679,0
