,,,,Assigned localizations (Infected),,,,,Assigned localizations (Uninfected),,,,,Prediction scores (Infected),,,,,Prediction scores (Uninfected),,,,
Uniprot Accession,Is Marker?,Gene,Organism,24hpi,48hpi,72hpi,96hpi,120hpi,24hpi,48hpi,72hpi,96hpi,120hpi,24hpi,48hpi,72hpi,96hpi,120hpi,24hpi,48hpi,72hpi,96hpi,120hpi
P09729, ,US9,HCMV,ER,unspecified,unspecified,ER,ER,NA,NA,NA,NA,NA,0.882619787,0.58630151,0.600984742,0.935575832,0.902430233,NA,NA,NA,NA,NA
P09720, ,US13,HCMV,NA,NA,NA,NA,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548006826,NA,NA,NA,NA,NA
P09718, ,US15,HCMV,NA,NA,NA,ER,ER,NA,NA,NA,NA,NA,NA,NA,NA,0.625847763,0.904083336,NA,NA,NA,NA,NA
P09717, ,US16,HCMV,NA,NA,NA,NA,ER,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836476535,NA,NA,NA,NA,NA
P09701, ,US23,HCMV,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,NA,NA,NA,NA,NA,0.855877467,0.95407926,0.754376847,0.965864731,0.847913365,NA,NA,NA,NA,NA
P16844, ,UL15A,HCMV,NA,NA,NA,unspecified,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,0.960470433,0.975335508,NA,NA,NA,NA,NA
P16757, ,UL16,HCMV,NA,NA,NA,NA,Lysosome,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826117369,NA,NA,NA,NA,NA
P16722, ,UL17,HCMV,NA,NA,NA,ER,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93885078,NA,NA,NA,NA,NA,NA
P16760, ,UL24,HCMV,NA,Nucleus,NA,unspecified,Nucleus,NA,NA,NA,NA,NA,NA,0.963279277,NA,0.432234664,0.963283635,NA,NA,NA,NA,NA
P16778, ,UL37,HCMV,unspecified,Mitochondria,Mitochondria,Mitochondria,unspecified,NA,NA,NA,NA,NA,0.940433096,0.971315121,0.984436969,0.981966863,0.979208749,NA,NA,NA,NA,NA
P16790, ,UL44,HCMV,Nucleus,unspecified,Peroxisome,Nucleus,Nucleus,NA,NA,NA,NA,NA,0.950081073,0.531111758,0.813137866,0.748716853,0.938232752,NA,NA,NA,NA,NA
P16783, ,UL46,HCMV,NA,NA,Lysosome,Lysosome,Nucleus,NA,NA,NA,NA,NA,NA,NA,0.795031238,0.864630361,0.619884289,NA,NA,NA,NA,NA
Q7M6N6, ,UL48A,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820868443,NA,NA,NA,NA,NA
P16791, ,UL50,HCMV,NA,NA,Cytoplasm,ER,unspecified,NA,NA,NA,NA,NA,NA,NA,0.830489686,0.986745969,0.704116788,NA,NA,NA,NA,NA
P16794, ,UL53,HCMV,NA,NA,NA,Peroxisome,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,0.664100842,0.347196687,NA,NA,NA,NA,NA
P08546, ,UL54,HCMV,Nucleus,Nucleus,NA,NA,Nucleus,NA,NA,NA,NA,NA,0.802808225,0.748723048,NA,NA,0.886865638,NA,NA,NA,NA,NA
P16724, ,UL56,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.978655746,NA,NA,NA,NA,NA
P17147, ,UL57,HCMV,NA,Peroxisome,NA,NA,unspecified,NA,NA,NA,NA,NA,NA,0.739909975,NA,NA,0.794264362,NA,NA,NA,NA,NA
P17149, ,UL70,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896354056,NA,NA,NA,NA,NA
P16751, ,UL78,HCMV,NA,NA,NA,unspecified,ER,NA,NA,NA,NA,NA,NA,NA,NA,0.510389602,0.841609589,NA,NA,NA,NA,NA
P16728, ,UL85,HCMV,NA,Nucleus,Lysosome,unspecified,Nucleus,NA,NA,NA,NA,NA,NA,0.991907795,0.756394991,0.588620402,0.740325379,NA,NA,NA,NA,NA
P16799, ,UL93,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89203979,NA,NA,NA,NA,NA
P16800, ,UL94,HCMV,unspecified,Golgi,unspecified,unspecified,unspecified,NA,NA,NA,NA,NA,0.527266839,0.878527579,0.460099529,0.436030333,0.639691928,NA,NA,NA,NA,NA
P16801, ,UL95,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946177113,NA,NA,NA,NA,NA
P16787, ,UL96,HCMV,NA,NA,NA,NA,Nucleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977408837,NA,NA,NA,NA,NA
P16789, ,UL98,HCMV,Nucleus,Nucleus,unspecified,Nucleus,Nucleus,NA,NA,NA,NA,NA,0.9002864,0.946170492,0.533994302,0.672568961,0.859323217,NA,NA,NA,NA,NA
P13200, ,UL99,HCMV,NA,NA,NA,ER,ER,NA,NA,NA,NA,NA,NA,NA,NA,0.975677685,0.955579486,NA,NA,NA,NA,NA
P16769, ,UL114,HCMV,NA,Nucleus,Nucleus,Nucleus,Nucleus,NA,NA,NA,NA,NA,NA,0.708215658,0.915568542,0.967510734,0.825416864,NA,NA,NA,NA,NA
P16832, ,gL,HCMV,NA,NA,unspecified,unspecified,ER,NA,NA,NA,NA,NA,NA,NA,0.569171533,0.525647579,0.823062914,NA,NA,NA,NA,NA
P16767, ,UL36,HCMV,Nucleus,Nucleus,Nucleus,NA,NA,NA,NA,NA,NA,NA,0.895321927,0.95011969,0.982809918,NA,NA,NA,NA,NA,NA,NA
P16731, ,UL88,HCMV,NA,Mitochondria,Mitochondria,Peroxisome,unspecified,Mitochondria,NA,Mitochondria,NA,NA,NA,0.966963749,0.982912018,0.893419374,0.343271479,0.985911048,NA,0.971761224,NA,NA
P16788, ,UL97,HCMV,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,NA,NA,NA,NA,NA,0.933147924,0.932713065,0.978505917,0.907548209,0.985091014,NA,NA,NA,NA,NA
P16734, ,UL103,HCMV,Lysosome,unspecified,Golgi,Peroxisome,unspecified,NA,NA,NA,NA,NA,0.750293275,0.341978777,0.863849102,0.695808545,0.532659516,NA,NA,NA,NA,NA
P16735, ,UL104,HCMV,NA,NA,unspecified,unspecified,Nucleus,NA,NA,NA,NA,NA,NA,NA,0.902007122,0.382722369,0.682009809,NA,NA,NA,NA,NA
P09727, ,US11,HCMV,ER,ER,unspecified,ER,unspecified,NA,NA,NA,NA,NA,0.972654097,0.905995815,0.273729196,0.699258368,0.528607911,NA,NA,NA,NA,NA
P09722, ,US22,HCMV,unspecified,Nucleus,unspecified,Nucleus,unspecified,NA,NA,NA,NA,NA,0.610453069,0.768332412,0.595070079,0.909257309,0.607924972,NA,NA,NA,NA,NA
P17151, ,UL112/UL113,HCMV,NA,Nucleus,unspecified,Nucleus,Nucleus,NA,NA,NA,NA,NA,NA,0.969853455,0.551977378,0.837926823,0.743805689,NA,NA,NA,NA,NA
P09730, ,US8,HCMV,ER,Golgi,unspecified,NA,Golgi,NA,NA,NA,NA,NA,0.981172735,0.973439611,0.744056326,NA,0.839459612,NA,NA,NA,NA,NA
P06726, ,UL82,HCMV,NA,NA,Lysosome,Peroxisome,unspecified,NA,NA,NA,NA,NA,NA,NA,0.783006529,0.750544648,0.397110192,NA,NA,NA,NA,NA
P13202, ,UL123,HCMV,Nucleus,unspecified,Nucleus,Nucleus,unspecified,NA,NA,NA,NA,NA,0.84008258,0.536483611,0.794125756,0.810232384,0.529251933,NA,NA,NA,NA,NA
P09728, ,US10,HCMV,unspecified,Lysosome,ER,ER,Golgi,NA,NA,NA,NA,NA,0.462743325,0.796598558,0.990785953,0.942891867,0.912514047,NA,NA,NA,NA,NA
P16762, ,UL26,HCMV,NA,NA,unspecified,Nucleus,Nucleus,NA,NA,NA,NA,NA,NA,NA,0.464708274,0.846494421,0.985237254,NA,NA,NA,NA,NA
P16761, ,UL25,HCMV,Nucleus,Nucleus,unspecified,unspecified,Nucleus,NA,NA,NA,NA,NA,0.779293625,0.994684853,0.654647428,0.333103794,0.974617532,NA,NA,NA,NA,NA
P16729, ,UL86,HCMV,Nucleus,Nucleus,Lysosome,unspecified,Nucleus,NA,NA,NA,NA,NA,0.954120525,0.97765367,0.715732351,0.598680489,0.75829802,NA,NA,NA,NA,NA
P06473, ,gB,HCMV,Golgi,ER,unspecified,unspecified,ER,NA,NA,NA,NA,NA,0.604752558,0.972548749,0.527816682,0.679983238,0.846923443,NA,NA,NA,NA,NA
P06725, ,UL83,HCMV,NA,Nucleus,Nucleus,Nucleus,NA,NA,NA,NA,NA,NA,NA,0.974615352,0.794374098,0.878081926,NA,NA,NA,NA,NA,NA
P08318, ,UL32,HCMV,Nucleus,Nucleus,Lysosome,unspecified,unspecified,NA,NA,NA,NA,NA,0.909370091,0.983423465,0.901620324,0.597024701,0.476203064,NA,NA,NA,NA,NA
P09695, ,TRS1,HCMV,unspecified,unspecified,Nucleus,unspecified,unspecified,NA,NA,NA,NA,NA,0.353447778,0.472775547,0.945137737,0.644621996,0.476740557,NA,NA,NA,NA,NA
P09709, ,US34,HCMV,ER,NA,NA,ER,unspecified,NA,NA,NA,NA,NA,0.866415186,NA,NA,0.817984115,0.717427561,NA,NA,NA,NA,NA
