Table S2F. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 24hpi.,,,,,,,,
,,,Organelle fraction,,,,,
Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.339325332,1,0.966434963,0.349482259,0.292173829,0
A1L0T0,ILVBL,Homo sapiens (Human),0.342266218,1,0.815784043,0.293818162,0.273919884,0
A2RRP1,NBAS,Homo sapiens (Human),0.535114427,1,0.709092306,0.287881479,0.190523225,0
A3KMH1,VWA8,Homo sapiens (Human),0.04813445,0.269483043,0.927922859,1,0.472760989,0
A4D1E9,GTPBP10,Homo sapiens (Human),0,0.109694365,0.677874588,1,0.459826029,0.03043743
Q9GZQ8,MAP1LC3B,Homo sapiens (Human),0.698290133,1,0.379940128,0.105920694,0.087148617,0
Q8IUC4,RHPN2,Homo sapiens (Human),0.029428987,0.273137496,1,0.367379425,0.219811231,0
A8MXV4,NUDT19,Homo sapiens (Human),0.165459231,0.396279457,0.865724348,1,0.710524383,0
E9PAV3,NACA,Homo sapiens (Human),0.851238801,1,0.358170293,0.159986967,0.111339792,0
P16731,UL88,HCMV,0,0.137109001,0.681827394,1,0.603486002,0.053657967
O00115,DNASE2,Homo sapiens (Human),0.2745998,1,0.833008262,0.27118314,0.194631727,0
O00116,AGPS,Homo sapiens (Human),0.156418453,0.487021806,0.80856674,0.932730499,1,0
O00142,TK2,Homo sapiens (Human),0.063743495,0.436460815,1,0.960997535,0.794754908,0
O00151,PDLIM1,Homo sapiens (Human),1,0.967768585,0.36500123,0.187086473,0.085523071,0
O00154,ACOT7,Homo sapiens (Human),0.643106907,1,0.563824132,0.357762853,0.307551728,0
O00159,MYO1C,Homo sapiens (Human),1,0.949493833,0.491133591,0.16509151,0.14712549,0
O00161,SNAP23,Homo sapiens (Human),1,0.957368263,0.506068913,0.177810498,0.082200021,0
O00186,STXBP3,Homo sapiens (Human),0.931897167,1,0.505275034,0.209868841,0.137304357,0
O00192,ARVCF,Homo sapiens (Human),1,0.818850697,0.387897633,0.190558148,0.124886491,0
O00203,AP3B1,Homo sapiens (Human),0.859225469,1,0.637451501,0.224109475,0.17552223,0
O00214,LGALS8,Homo sapiens (Human),1,0.831957419,0.475434503,0.201119993,0.119142091,0
O00217,NDUFS8,Homo sapiens (Human),0,0.095633115,0.71096628,1,0.794029747,0.088549114
O00231,PSMD11,Homo sapiens (Human),0.706896336,1,0.418162541,0.198422193,0.207511396,0
O00264,PGRMC1,Homo sapiens (Human),0.352313061,1,0.959609242,0.339136696,0.268801085,0
O00291,HIP1,Homo sapiens (Human),0.89196661,1,0.973935566,0.407975668,0.307623595,0
O00299,CLIC1,Homo sapiens (Human),0.626951063,1,0.266488242,0.09336911,0.079767998,0
O00330,PDHX,Homo sapiens (Human),0.050777988,0.212267646,0.815099305,1,0.766734781,0
O00391,QSOX1,Homo sapiens (Human),0.184006937,1,0.920901564,0.317278312,0.179454322,0
O00410,IPO5,Homo sapiens (Human),0.709524752,1,0.902722065,0.89223702,0.754592542,0
O00425,IGF2BP3,Homo sapiens (Human),0.632386158,1,0.578575418,0.277940997,0.190153591,0
