Table S2I. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 96hpi.,,,,,,,,
,,,Organelle fraction,,,,,
Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.957281593,1,0.589826224,0.479931616,0.168805594,0
A1L0T0,ILVBL,Homo sapiens (Human),0.776605967,1,0.40361891,0.374904505,0.11960366,0
A2RRP1,NBAS,Homo sapiens (Human),1,0.883266279,0.326300024,0.260246746,0.07248199,0
A3KMH1,VWA8,Homo sapiens (Human),0.14660778,0.195255808,0.2704442,1,0.252444542,0
A8MSI8,LYRM9,Homo sapiens (Human),0.016297895,0.094096965,0.261355798,1,0.214264618,0
Q8IUC4,RHPN2,Homo sapiens (Human),0.33601834,1,0.881348534,0.668140595,0.23332546,0
A8MXV4,NUDT19,Homo sapiens (Human),0.073514829,0.101326831,0.187454048,1,0.254134695,0
O00115,DNASE2,Homo sapiens (Human),0.3295963,1,0.523190916,0.587090583,0.178698748,0
O00116,AGPS,Homo sapiens (Human),0.003930656,0.060929991,0.212621826,1,0.881123388,0
O00142,TK2,Homo sapiens (Human),0.097289493,0.237922958,0.223877303,1,0.183557992,0
O00151,PDLIM1,Homo sapiens (Human),1,0.345941534,0.106084107,0.087129886,0.036439004,0
O00154,ACOT7,Homo sapiens (Human),0.546151001,0.481939999,0.245281517,1,0.198235415,0
O00159,MYO1C,Homo sapiens (Human),1,0.403731956,0.088767827,0.06046757,0.019840503,0
O00161,SNAP23,Homo sapiens (Human),1,0.381069486,0.174700131,0.08887721,0.032108036,0
O00186,STXBP3,Homo sapiens (Human),1,0.51240774,0.193778537,0.131770771,0.056715917,0
O00214,LGALS8,Homo sapiens (Human),1,0.451552674,0.178291299,0.117088672,0.026776375,0
O00231,PSMD11,Homo sapiens (Human),1,0.784170428,0.290771093,0.236145532,0.08848418,0
O00264,PGRMC1,Homo sapiens (Human),0.80735306,1,0.477789775,0.707810797,0.222680495,0
