Table S2J. Relative protein abundance across organelle fractions collected by density gradient separation and quantified using TMT. Samples are mock infected cells at 120hpi.,,,,,,,,
,,,Organelle fraction,,,,,
Uniprot Accession,Gene,Organism,1,2,3,4,5,6
A0FGR8,ESYT2,Homo sapiens (Human),0.856640962,0.872034354,1,0.441369638,0.091156532,0
A2RRP1,NBAS,Homo sapiens (Human),1,0.802786123,0.851931367,0.497635607,0.15583857,0
A3KMH1,VWA8,Homo sapiens (Human),0.348273087,0.312740016,1,0.947983303,0.158041457,0
Q8IUC4,RHPN2,Homo sapiens (Human),0.050223972,0.164753183,1,0.282690641,0.042802689,0
A8MXV4,NUDT19,Homo sapiens (Human),0.185281237,0.19281438,0.615791858,1,0.357648144,0
O00115,DNASE2,Homo sapiens (Human),0.353827448,1,0.943969233,0.457368963,0.079708567,0
O00116,AGPS,Homo sapiens (Human),0,0.029428976,0.343835485,0.533237009,1,0.058406809
O00151,PDLIM1,Homo sapiens (Human),1,0.388687277,0.24204251,0.085151897,0.018534846,0
O00154,ACOT7,Homo sapiens (Human),1,0.683485018,0.529463362,0.658301856,0.108045053,0
O00159,MYO1C,Homo sapiens (Human),1,0.36900351,0.204648795,0.061070609,0.007611283,0
O00161,SNAP23,Homo sapiens (Human),1,0.440811764,0.467031072,0.07607196,0.018611162,0
O00186,STXBP3,Homo sapiens (Human),1,0.485794525,0.492142096,0.140197028,0.022836889,0
O00214,LGALS8,Homo sapiens (Human),1,0.413760841,0.417222581,0.168620494,0.045685184,0
O00217,NDUFS8,Homo sapiens (Human),0,0.086486854,0.649929399,1,0.260113881,0.071728473
O00231,PSMD11,Homo sapiens (Human),1,0.44844147,0.309223488,0.091614369,0.035780201,0
O00264,PGRMC1,Homo sapiens (Human),0.760015947,0.872239484,1,0.448561819,0.110825231,0
O00291,HIP1,Homo sapiens (Human),0.899454944,0.516494245,1,0.3243989,0.056068383,0
O00330,PDHX,Homo sapiens (Human),0.081660485,0.118841515,0.509775472,1,0.13562086,0
O00391,QSOX1,Homo sapiens (Human),0.600754595,1,0.658207941,0.201927138,0.040712199,0
O00410,IPO5,Homo sapiens (Human),0.84654584,0.570004418,0.866086366,1,0.265026383,0
O00461,GOLIM4,Homo sapiens (Human),0.457327389,1,0.877462865,0.227444246,0.038537045,0
O00462,MANBA,Homo sapiens (Human),0.565970726,0.904973701,1,0.344743875,0.074292777,0
O00469,PLOD2,Homo sapiens (Human),0.328236036,0.574099001,1,0.425766347,0.076349453,0
O00471,EXOC5,Homo sapiens (Human),1,0.369354129,0.432366726,0.262318362,0.050101437,0
O00483,NDUFA4,Homo sapiens (Human),0,0.085864373,1,0.955594508,0.31831155,0.098184972
O00499,BIN1,Homo sapiens (Human),1,0.48058945,0.274880107,0.123175637,0.040962422,0
O00560,SDCBP,Homo sapiens (Human),0.721275899,1,0.537500612,0.208357874,0.029926372,0
O00584,RNASET2,Homo sapiens (Human),0.288008158,0.71218376,1,0.401941955,0.095916497,0
O00622,CYR61,Homo sapiens (Human),0.353193644,1,0.620546719,0.163305916,0.043378009,0
O00629,KPNA4,Homo sapiens (Human),1,0.66360583,0.5469591,0.260898153,0.088506576,0
O00746,NME4,Homo sapiens (Human),0.221811556,0.211377972,0.565620256,1,0.16502712,0
O00754,MAN2B1,Homo sapiens (Human),0.299009891,0.785758297,1,0.460363887,0.067864645,0
O14494,PLPP1,Homo sapiens (Human),0.770590321,0.99433436,1,0.19989258,0.047414134,0
O14495,PLPP3,Homo sapiens (Human),0.890235111,0.946399513,1,0.182616537,0.019861475,0
O14617,AP3D1,Homo sapiens (Human),1,0.497633299,0.534062344,0.073039253,0.012697445,0
O14653,GOSR2,Homo sapiens (Human),1,0.58832827,0.577950432,0.19661147,0.061647266,0
O14656,TOR1A,Homo sapiens (Human),0.995963128,1,0.839682275,0.551779708,0.124596804,0
O14672,ADAM10,Homo sapiens (Human),0.767693536,0.862724046,1,0.340929814,0.074317996,0
O14734,ACOT8,Homo sapiens (Human),0.119022874,0.208686794,0.462464828,0.485318195,1,0
O14763,TNFRSF10B,Homo sapiens (Human),1,0.616361479,0.455417638,0.140451629,0.025280828,0
O14773,TPP1,Homo sapiens (Human),0.225250177,0.807050988,1,0.435755577,0.071659481,0
O14817,TSPAN4,Homo sapiens (Human),1,0.564892682,0.660608867,0.225544621,0.015651988,0
O14818,PSMA7,Homo sapiens (Human),1,0.619289145,0.282735461,0.090404278,0.015309793,0
O14828,SCAMP3,Homo sapiens (Human),1,0.930495384,0.725389521,0.258197119,0.052752057,0
O14874,BCKDK,Homo sapiens (Human),0.025817493,0.078089522,0.531677959,1,0.089960288,0
O14880,MGST3,Homo sapiens (Human),0.00573723,0.102926867,1,0.725616184,0.227699122,0
O14908,GIPC1,Homo sapiens (Human),1,0.400894933,0.272222781,0.071432484,0.016290586,0
O14936,CASK,Homo sapiens (Human),1,0.412427051,0.503385511,0.113508261,0.012726662,0
