Uniprot Accession,Gene Name,Subcellular localization
A5PLL7,TMEM189,ER
P0CG08,GPR89B,Golgi
O00139,KIF2A,Cytosol
O00151,PDLIM1,Cytosol
O00178,GTPBP1,Cytosol
O00217,NDUFS8,Mitochondria
O00258,WRB,ER
O00303,EIF3F,Dense cytosol
O00400,SLC33A1,ER
O00478,BTN3A3,Plasma membrane
O00483,NDUFA4,Mitochondria
O00623,PEX12,Peroxisome
O00743,PPP6C,Cytosol
O00748,CES2,ER
O00767,SCD,ER
O14548,COX7A2L,Mitochondria
O15066,KIF3B,Cytosol
O14807,MRAS,Plasma membrane
O14874,BCKDK,Mitochondria
Q5SRD1,TIMM23B,Mitochondria
O14966,RAB29,Plasma membrane
O15091,KIAA0391,Mitochondria
O15116,LSM1,Nucleus
O15194,CTDSPL,Nucleus
O15228,GNPAT,Peroxisome
O15270,SPTLC2,ER
O15344,MID1,Cytosol
O15347,HMGB3,Nucleus
O15371,EIF3D,Dense cytosol
Q92887,ABCC2,Plasma membrane
Q6A1A2,PDPK2P,Cytosol
O43237,DYNC1LI2,Cytosol
O43505,B4GAT1,Golgi
O43752,STX6,Golgi
O43815,STRN,Cytosol
O43861,ATP9B,Golgi
O43896,KIF1C,Cytosol
O60220,TIMM8A,Mitochondria
O60237,PPP1R12B,Cytosol
O60264,SMARCA5,Nucleus
O60499,STX10,Golgi
O60507,TPST1,Golgi
O60613,SEP15,ER
O60704,TPST2,Golgi
O60711,LPXN,Cytosol
O60725,ICMT,ER
O60783,MRPS14,Mitochondria
O60784,TOM1,Cytosol
O60858,TRIM13,ER
O60930,RNASEH1,Cytosol
O75084,FZD7,Plasma membrane
O75127,PTCD1,Mitochondria
O75150,RNF40,Nucleus
O75153,CLUH,Dense cytosol
O75170,PPP6R2,Cytosol
O75326,SEMA7A,Plasma membrane
O75379,VAMP4,Golgi
O75381,PEX14,Peroxisome
O75439,PMPCB,Mitochondria
Q8WXF0,SRSF12,Nucleus
O75503,CLN5,Lysosome
O75570,MTRF1,Mitochondria
O75592,MYCBP2,Nucleus
O75607,NPM3,Nucleus
O75608,LYPLA1,Cytosol
O75643,SNRNP200,Nucleus
O75648,TRMU,Mitochondria
O75663,TIPRL,Cytosol
O75694,NUP155,Nucleus
O75746,SLC25A12,Mitochondria
O75822,EIF3J,Cytosol
O75880,SCO1,Mitochondria
O75907,DGAT1,ER
O75934,BCAS2,Nucleus
O75935,DCTN3,Dense cytosol
O76003,GLRX3,Dense cytosol
O76021,RSL1D1,Nucleus
O94776,MTA2,Nucleus
Q9BZL6,PRKD2,Plasma membrane
O94826,TOMM70A,Mitochondria
O94851,MICAL2,Nucleus
Q5TBA9,FRY,Cytosol
O94923,GLCE,Golgi
O94929,ABLIM3,Cytosol
O95140,MFN2,Mitochondria
O95202,LETM1,Mitochondria
O95208,EPN2,Cytosol
O95232,LUC7L3,Nucleus
O95236,APOL3,Cytosol
O95248,SBF1,Nucleus
O95249,GOSR1,Golgi
Q5SVS4,SLC25A30,Mitochondria
O95302,FKBP9,ER
O95336,PGLS,Cytosol
O95363,FARS2,Mitochondria
O95379,TNFAIP8,Cytosol
O95427,PIGN,ER
O95563,MPC2,Mitochondria
O95716,RAB3D,Plasma membrane
O95881,TXNDC12,ER
O96008,TOMM40,Mitochondria
O96011,PEX11B,Peroxisome
O96013,PAK4,Cytosol
P00156,MT-CYB,Mitochondria
P00491,PNP,Cytosol
P03886,MT-ND1,Mitochondria
P03897,MT-ND3,Mitochondria
P03905,MT-ND4,Mitochondria
P03915,MT-ND5,Mitochondria
P03923,MT-ND6,Mitochondria
P04062,GBA,Lysosome
P04181,OAT,Mitochondria
P04844,RPN2,ER
P05165,PCCA,Mitochondria
P05166,PCCB,Mitochondria
P05455,SSB,Nucleus
P07305,H1F0,Nucleus
P07602,PSAP,Lysosome
P07814,EPRS,Dense cytosol
P08069,IGF1R,Plasma membrane
P09914,IFIT1,Dense cytosol
P0C7P0,CISD3,Mitochondria
P0DJ07,PET100,Mitochondria
P10109,FDX1,Mitochondria
P10253,GAA,Lysosome
P11532,DMD,Plasma membrane
P12004,PCNA,Nucleus
P13637,ATP1A3,Plasma membrane
P14314,PRKCSH,ER
P14854,COX6B1,Mitochondria
P15924,DSP,Cytosol
P15954,COX7C,Mitochondria
P16260,SLC25A16,Mitochondria
P17480,UBTF,Nucleus
P17568,NDUFB7,Mitochondria
P17844,DDX5,Nucleus
P18583,SON,Nucleus
P19388,POLR2E,Nucleus
P19440,GGT1,Plasma membrane
P20936,RASA1,Cytosol
P21359,NF1,Nucleus
P22087,FBL,Nucleus
P23141,CES1,ER
P23229,ITGA6,Plasma membrane
P24311,COX7B,Mitochondria
P26006,ITGA3,Plasma membrane
P27144,AK4,Mitochondria
P28288,ABCD3,Peroxisome
P28845,HSD11B1,ER
P29218,IMPA1,Cytosol
P29590,PML,ER
P30042,C21orf33,Mitochondria
P30101,PDIA3,ER
P30405,PPIF,Mitochondria
P31942,HNRNPH3,Nucleus
P33527,ABCC1,Plasma membrane
P33991,MCM4,Nucleus
P33993,MCM7,Nucleus
P35221,CTNNA1,Plasma membrane
P35232,PHB,Mitochondria
P35250,RFC2,Nucleus
P35573,AGL,Cytosol
P35613,BSG,Plasma membrane
P35637,FUS,Nucleus
P35659,DEK,Nucleus
P35998,PSMC2,Dense cytosol
P36776,LONP1,Mitochondria
P39210,MPV17,Mitochondria
P40937,RFC5,Nucleus
P41214,EIF2D,Cytosol
P41223,BUD31,Nucleus
P42765,ACAA2,Mitochondria
P43005,SLC1A1,Plasma membrane
P43246,MSH2,Nucleus
P43353,ALDH3B1,Plasma membrane
P45880,VDAC2,Mitochondria
P46063,RECQL,Nucleus
P46736,BRCC3,Nucleus
P46926,GNPDA1,Cytosol
P48047,ATP5O,Mitochondria
P48163,ME1,Cytosol
P49406,MRPL19,Mitochondria
P49590,HARS2,Mitochondria
P49736,MCM2,Nucleus
P50579,METAP2,Cytosol
P51398,DAP3,Mitochondria
P51452,DUSP3,Nucleus
P51991,HNRNPA3,Nucleus
P52272,HNRNPM,Nucleus
P52434,POLR2H,Nucleus
P52732,KIF11,Cytosol
P52848,NDST1,Golgi
P53701,HCCS,Mitochondria
P53816,PLA2G16,Cytosol
P54577,YARS,Dense cytosol
P54709,ATP1B3,Plasma membrane
P55042,RRAD,Plasma membrane
P56134,ATP5J2,Mitochondria
P56182,RRP1,Nucleus
P56277,CMC4,Mitochondria
P56545,CTBP2,Nucleus
P56589,PEX3,Peroxisome
P56715,RP1,Cytosol
P60520,GABARAPL2,Golgi
P60953,CDC42,Plasma membrane
P61018,RAB4B,Plasma membrane
P61966,AP1S1,Golgi
P61981,YWHAG,Cytosol
P62070,RRAS2,Plasma membrane
P62072,TIMM10,Mitochondria
P62875,POLR2L,Nucleus
P63104,YWHAZ,Cytosol
P78316,NOP14,Nucleus
P78318,IGBP1,Cytosol
P78383,SLC35B1,ER
P78410,BTN3A2,Plasma membrane
P82673,MRPS35,Mitochondria
P82912,MRPS11,Mitochondria
P82914,MRPS15,Mitochondria
P83111,LACTB,Mitochondria
P85037,FOXK1,Nucleus
Q01081,U2AF1,Nucleus
Q01974,ROR2,Plasma membrane
Q02127,DHODH,Mitochondria
Q04323,UBXN1,Cytosol
Q04837,SSBP1,Mitochondria
Q05397,PTK2,Cytosol
Q05682,CALD1,Cytosol
Q07666,KHDRBS1,Nucleus
Q08357,SLC20A2,Plasma membrane
Q08722,CD47,Plasma membrane
Q0VDF9,HSPA14,Cytosol
Q0ZGT2,NEXN,Cytosol
Q10589,BST2,Plasma membrane
Q10713,PMPCA,Mitochondria
Q12765,SCRN1,Dense cytosol
Q12792,TWF1,Cytosol
Q12800,TFCP2,Nucleus
Q12846,STX4,Plasma membrane
Q12893,TMEM115,Golgi
Q12913,PTPRJ,Plasma membrane
Q13126,MTAP,Nucleus
Q13148,TARDBP,Nucleus
Q13185,CBX3,Nucleus
Q13217,DNAJC3,ER
Q13237,PRKG2,Plasma membrane
Q13242,SRSF9,Nucleus
Q13263,TRIM28,Nucleus
Q13310,PABPC4,Dense cytosol
Q13404,UBE2V1,Nucleus
Q13423,NNT,Mitochondria
Q13427,PPIG,Nucleus
Q13433,SLC39A6,Plasma membrane
Q13438,OS9,ER
Q13454,TUSC3,ER
Q13505,MTX1,Mitochondria
Q13671,RIN1,Dense cytosol
Q13825,AUH,Mitochondria
Q13873,BMPR2,Plasma membrane
Q13885,TUBB2A,Dense cytosol
